Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"scrollToElement(findTestObject(""ContactUsPage/SubmitBtn""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:38:49,2021-03-09 19:38:49,0.515s,PASSED
"waitForElementVisible(findTestObject(""ContactUsPage/ZoomIn""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:38:49,2021-03-09 19:38:52,3.261s,PASSED
"click(findTestObject(""ContactUsPage/ZoomIn""))",Chrome 88.0.4324.190,,,2021-03-09 19:38:52,2021-03-09 19:38:53,0.866s,PASSED
delay(1),Chrome 88.0.4324.190,,,2021-03-09 19:38:53,2021-03-09 19:38:54,1.015s,PASSED
closeBrowser(),Chrome 88.0.4324.190,,,2021-03-09 19:38:54,2021-03-09 19:38:56,1.352s,PASSED
,,,,,,,
Test Cases/2.ContactUsPage/TC-ContactUs-015,Chrome 88.0.4324.190,Satellite view on the map,Satellite view,2021-03-09 19:38:56,2021-03-09 19:39:17,21.856s,PASSED
"openBrowser(""https://www.banatbar.rs/en"")",Chrome 88.0.4324.190,,,2021-03-09 19:38:56,2021-03-09 19:39:01,4.986s,PASSED
waitForPageLoad(TimeOut),Chrome 88.0.4324.190,,,2021-03-09 19:39:01,2021-03-09 19:39:01,0.031s,PASSED
maximizeWindow(),Chrome 88.0.4324.190,,,2021-03-09 19:39:01,2021-03-09 19:39:01,0.185s,PASSED
"click(findTestObject(""ContactUsPage/ContactUs-Link""))",Chrome 88.0.4324.190,,,2021-03-09 19:39:01,2021-03-09 19:39:04,2.449s,PASSED
"scrollToElement(findTestObject(""ContactUsPage/SubmitBtn""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:39:04,2021-03-09 19:39:04,0.520s,PASSED
"waitForElementVisible(findTestObject(""ContactUsPage/SatelliteView""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:39:04,2021-03-09 19:39:08,3.758s,PASSED
delay(3),Chrome 88.0.4324.190,,,2021-03-09 19:39:08,2021-03-09 19:39:11,3.008s,PASSED
"click(findTestObject(""ContactUsPage/SatelliteView""))",Chrome 88.0.4324.190,,,2021-03-09 19:39:11,2021-03-09 19:39:12,0.536s,PASSED
delay(5),Chrome 88.0.4324.190,,,2021-03-09 19:39:12,2021-03-09 19:39:17,5.005s,PASSED
closeBrowser(),Chrome 88.0.4324.190,,,2021-03-09 19:39:17,2021-03-09 19:39:17,0.815s,PASSED
,,,,,,,
Test Cases/2.ContactUsPage/TC-ContactUs-016,Chrome 88.0.4324.190,Google map functionality,Google map,2021-03-09 19:39:18,2021-03-09 19:39:36,18.476s,PASSED
"openBrowser(""https://www.banatbar.rs/en"")",Chrome 88.0.4324.190,,,2021-03-09 19:39:18,2021-03-09 19:39:23,5.008s,PASSED
waitForPageLoad(TimeOut),Chrome 88.0.4324.190,,,2021-03-09 19:39:23,2021-03-09 19:39:23,0.025s,PASSED
maximizeWindow(),Chrome 88.0.4324.190,,,2021-03-09 19:39:23,2021-03-09 19:39:23,0.140s,PASSED
"click(findTestObject(""ContactUsPage/ContactUs-Link""))",Chrome 88.0.4324.190,,,2021-03-09 19:39:23,2021-03-09 19:39:25,1.742s,PASSED
"scrollToElement(findTestObject(""ContactUsPage/SubmitBtn""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:39:25,2021-03-09 19:39:26,0.514s,PASSED
"waitForElementVisible(findTestObject(""ContactUsPage/GoogleMapsNewTab""), TimeOut)",Chrome 88.0.4324.190,,,2021-03-09 19:39:26,2021-03-09 19:39:29,2.935s,PASSED
"click(findTestObject(""ContactUsPage/GoogleMapsNewTab""))",Chrome 88.0.4324.190,,,2021-03-09 19:39:29,2021-03-09 19:39:29,0.694s,PASSED
switchToWindowIndex(1),Chrome 88.0.4324.190,,,2021-03-09 19:39:29,2021-03-09 19:39:29,0.102s,PASSED
waitForPageLoad(TimeOut),Chrome 88.0.4324.190,,,2021-03-09 19:39:29,2021-03-09 19:39:32,2.880s,PASSED
delay(1),Chrome 88.0.4324.190,,,2021-03-09 19:39:32,2021-03-09 19:39:33,1.004s,PASSED
closeWindowIndex(1),Chrome 88.0.4324.190,,,2021-03-09 19:39:33,2021-03-09 19:39:34,0.442s,PASSED
switchToWindowIndex(0),Chrome 88.0.4324.190,,,2021-03-09 19:39:34,2021-03-09 19:39:34,0.075s,PASSED
delay(1),Chrome 88.0.4324.190,,,2021-03-09 19:39:34,2021-03-09 19:39:35,1.005s,PASSED
closeBrowser(),Chrome 88.0.4324.190,,,2021-03-09 19:39:35,2021-03-09 19:39:36,1.279s,PASSED
